Country,Cumulative_Cases,Date,Recovered,Deaths,,,,,
Canada,53,2003-04-01,0,4,,,,,
China,806,2003-04-01,0,34,,,,,
"China, Hong Kong Special Administrative Region",685,2003-04-01,0,16,,,,,
"China, Taiwan",13,2003-04-01,0,0,,,,,
France,1,2003-04-01,0,0,,,,,
Germany,5,2003-04-01,0,0,,,,,
Italy,3,2003-04-01,0,0,,,,,
Republic of Ireland,2,2003-04-01,0,0,,,,,
Romania,3,2003-04-01,0,0,,,,,
Singapore,92,2003-04-01,0,3,,,,,
Switzerland,3,2003-04-01,0,0,,,,,
Thailand,6,2003-04-01,0,1,,,,,
United Kingdom,3,2003-04-01,0,0,,,,,
United States,69,2003-04-01,0,0,,,,,
Viet Nam,58,2003-04-01,0,4,,,,,
Total,1804,2003-04-01,0,62,,,,,
Australia,1,2003-04-02,0,0,,,,,
Belgium,1,2003-04-02,0,0,,,,,
Canada,58,2003-04-02,0,6,,,,,
China,1190,2003-04-02,0,46,,,,,
"China, Hong Kong Special Administrative Region",708,2003-04-02,0,16,,,,,
"China, Taiwan",13,2003-04-02,0,0,,,,,
France,1,2003-04-02,0,0,,,,,
Germany,5,2003-04-02,0,0,,,,,
Italy,3,2003-04-02,0,0,,,,,
Republic of Ireland,2,2003-04-02,0,0,,,,,
Romania,3,2003-04-02,0,0,,,,,
Singapore,95,2003-04-02,0,4,,,,,
Spain,1,2003-04-02,0,0,,,,,
Switzerland,2,2003-04-02,0,0,,,,,
Thailand,7,2003-04-02,0,2,,,,,
United Kingdom,3,2003-04-02,0,0,,,,,
United States,72,2003-04-02,0,0,,,,,
Viet Nam,58,2003-04-02,0,4,,,,,
Total,2223,2003-04-02,0,78,,,,,
Australia,1,2003-04-03,0,0,,,,,
Belgium,1,2003-04-03,0,0,,,,,
Brazil,1,2003-04-03,0,0,,,,,
Canada,62,2003-04-03,0,6,,,,,
China,1190,2003-04-03,0,46,,,,,
"China, Hong Kong Special Administrative Region",734,2003-04-03,0,17,,,,,
"China, Taiwan",14,2003-04-03,0,0,,,,,
France,3,2003-04-03,0,0,,,,,
Germany,5,2003-04-03,0,0,,,,,
Italy,3,2003-04-03,0,0,,,,,
Republic of Ireland,1,2003-04-03,0,0,,,,,
Romania,1,2003-04-03,0,0,,,,,
Singapore,98,2003-04-03,0,4,,,,,
Switzerland,2,2003-04-03,0,0,,,,,
Thailand,7,2003-04-03,0,2,,,,,
United Kingdom,3,2003-04-03,0,0,,,,,
United States,85,2003-04-03,0,0,,,,,
Viet Nam,59,2003-04-03,0,4,,,,,
Total,2270,2003-04-03,0,79,,,,,
Australia,1,2003-04-04,0,0,,,,,
Belgium,1,2003-04-04,0,0,,,,,
Brazil,1,2003-04-04,0,0,,,,,
Canada,69,2003-04-04,0,7,,,,,
China,1220,2003-04-04,0,49,,,,,
"China, Hong Kong Special Administrative Region",761,2003-04-04,0,17,,,,,
"China, Taiwan",15,2003-04-04,0,0,,,,,
France,3,2003-04-04,0,0,,,,,
Germany,5,2003-04-04,0,0,,,,,
Italy,3,2003-04-04,0,0,,,,,
Republic of Ireland,1,2003-04-04,0,0,,,,,
Romania,1,2003-04-04,0,0,,,,,
Singapore,100,2003-04-04,0,5,,,,,
Spain,1,2003-04-04,0,0,,,,,
Switzerland,2,2003-04-04,0,0,,,,,
Thailand,7,2003-04-04,0,2,,,,,
United Kingdom,3,2003-04-04,0,0,,,,,
United States,100,2003-04-04,0,0,,,,,
Viet Nam,59,2003-04-04,0,4,,,,,
Total,2353,2003-04-04,0,84,,,,,
Australia,1,2003-04-05,0,0,,,,,
Belgium,1,2003-04-05,0,0,,,,,
Brazil,1,2003-04-05,0,0,,,,,
Canada,74,2003-04-05,0,7,,,,,
China,1220,2003-04-05,0,49,,,,,
"China, Hong Kong Special Administrative Region",800,2003-04-05,0,20,,,,,
"China, Taiwan",17,2003-04-05,0,0,,,,,
France,3,2003-04-05,0,0,,,,,
Germany,5,2003-04-05,0,0,,,,,
Italy,3,2003-04-05,0,0,,,,,
Malaysia,1,2003-04-05,0,1,,,,,
Republic of Ireland,1,2003-04-05,0,0,,,,,
Romania,1,2003-04-05,0,0,,,,,
Singapore,101,2003-04-05,0,6,,,,,
Spain,1,2003-04-05,0,0,,,,,
Switzerland,1,2003-04-05,0,0,,,,,
Thailand,7,2003-04-05,0,2,,,,,
United Kingdom,4,2003-04-05,0,0,,,,,
United States,115,2003-04-05,0,0,,,,,
Viet Nam,59,2003-04-05,0,4,,,,,
Total,2416,2003-04-05,0,89,,,,,
Australia,1,2003-04-07,0,0,,,,,
Brazil,1,2003-04-07,0,0,,,,,
Canada,90,2003-04-07,0,9,,,,,
China,1268,2003-04-07,0,53,,,,,
"China, Hong Kong Special Administrative Region",883,2003-04-07,0,23,,,,,
"China, Taiwan",21,2003-04-07,0,0,,,,,
France,3,2003-04-07,0,0,,,,,
Germany,5,2003-04-07,0,0,,,,,
Italy,3,2003-04-07,0,0,,,,,
Malaysia,1,2003-04-07,0,1,,,,,
Republic of Ireland,1,2003-04-07,0,0,,,,,
Romania,1,2003-04-07,0,0,,,,,
Singapore,106,2003-04-07,0,6,,,,,
Spain,1,2003-04-07,0,0,,,,,
Switzerland,1,2003-04-07,0,0,,,,,
Thailand,7,2003-04-07,0,2,,,,,
United Kingdom,5,2003-04-07,0,0,,,,,
United States,141,2003-04-07,0,0,,,,,
Viet Nam,62,2003-04-07,0,4,,,,,
Total,2601,2003-04-07,0,98,,,,,
Australia,1,2003-04-08,0,0,,,,,
Brazil,1,2003-04-08,0,0,,,,,
Canada,91,2003-04-08,0,10,,,,,
China,1279,2003-04-08,0,53,,,,,
"China, Hong Kong Special Administrative Region",928,2003-04-08,0,25,,,,,
"China, Taiwan",19,2003-04-08,0,0,,,,,
France,4,2003-04-08,0,0,,,,,
Germany,5,2003-04-08,0,0,,,,,
Italy,3,2003-04-08,0,0,,,,,
Malaysia,1,2003-04-08,0,1,,,,,
Republic of Ireland,1,2003-04-08,0,0,,,,,
Romania,1,2003-04-08,0,0,,,,,
Singapore,113,2003-04-08,0,8,,,,,
Spain,1,2003-04-08,0,0,,,,,
Switzerland,1,2003-04-08,0,0,,,,,
Thailand,7,2003-04-08,0,2,,,,,
United Kingdom,5,2003-04-08,0,0,,,,,
United States,148,2003-04-08,0,0,,,,,
Viet Nam,62,2003-04-08,0,4,,,,,
Total,2671,2003-04-08,0,103,,,,,
Brazil,1,2003-04-09,0,0,,,,,
Canada,94,2003-04-09,0,10,,,,,
China,1280,2003-04-09,0,53,,,,,
"China, Hong Kong Special Administrative Region",970,2003-04-09,0,27,,,,,
"China, Taiwan",19,2003-04-09,0,0,,,,,
France,4,2003-04-09,0,0,,,,,
Germany,5,2003-04-09,0,0,,,,,
Italy,3,2003-04-09,0,0,,,,,
Malaysia,1,2003-04-09,0,1,,,,,
Republic of Ireland,1,2003-04-09,0,0,,,,,
Romania,1,2003-04-09,0,0,,,,,
Singapore,118,2003-04-09,0,9,,,,,
Spain,1,2003-04-09,0,0,,,,,
Switzerland,1,2003-04-09,0,0,,,,,
Thailand,7,2003-04-09,0,2,,,,,
United Kingdom,5,2003-04-09,0,0,,,,,
United States,149,2003-04-09,0,0,,,,,
Viet Nam,62,2003-04-09,0,4,,,,,
Total,2722,2003-04-09,0,106,,,,,
Australia,4,2003-04-24,3,0,,,,,
Brazil,2,2003-04-24,2,0,,,,,
Bulgaria,1,2003-04-24,0,0,,,,,
Canada,140,2003-04-24,67,15,,,,,
China,2422,2003-04-24,1254,110,,,,,
"China, Hong Kong Special Administrative Region^4",1488,2003-04-24,567,109,,,,,
"China, Taiwan",37,2003-04-24,21,0,,,,,
France,5,2003-04-24,1,0,,,,,
Germany,7,2003-04-24,6,0,,,,,
India,1,2003-04-24,1,0,,,,,
Indonesia,1,2003-04-24,1,0,,,,,
Italy,4,2003-04-24,3,0,,,,,
Japan,2,2003-04-24,0,0,,,,,
Kuwait,1,2003-04-24,1,0,,,,,
Malaysia,5,2003-04-24,2,2,,,,,
Mongolia,3,2003-04-24,3,0,,,,,
Philippines,2,2003-04-24,1,1,,,,,
Republic of Ireland,1,2003-04-24,1,0,,,,,
Romania,1,2003-04-24,1,0,,,,,
Singapore,192,2003-04-24,118,19,,,,,
South Africa,1,2003-04-24,0,0,,,,,
Spain,1,2003-04-24,1,0,,,,,
Sweden,3,2003-04-24,2,0,,,,,
Switzerland,1,2003-04-24,1,0,,,,,
Thailand,8,2003-04-24,5,2,,,,,
United Kingdom,6,2003-04-24,6,0,,,,,
United States,37,2003-04-24,not available,0,,,,,
Viet Nam,63,2003-04-24,49,5,,,,,
Total,4439,2003-04-24,2117,263,,,,,
Australia,4,2003-04-25,3,0,,,,,
Brazil,2,2003-04-25,2,0,,,,,
Bulgaria,1,2003-04-25,0,0,,,,,
Canada,140,2003-04-25,74,15,,,,,
China,2601,2003-04-25,1277,115,,,,,
"China, Hong Kong Special Administrative Region^4",1510,2003-04-25,614,115,,,,,
"China, Taiwan",41,2003-04-25,21,0,,,,,
France,5,2003-04-25,1,0,,,,,
Germany,7,2003-04-25,6,0,,,,,
India,1,2003-04-25,1,0,,,,,
Indonesia,1,2003-04-25,1,0,,,,,
Italy,4,2003-04-25,3,0,,,,,
Japan,2,2003-04-25,0,0,,,,,
Kuwait,1,2003-04-25,1,0,,,,,
Malaysia,5,2003-04-25,2,2,,,,,
Mongolia,3,2003-04-25,3,0,,,,,
Philippines,2,2003-04-25,1,1,,,,,
Republic of Ireland,1,2003-04-25,1,0,,,,,
Romania,1,2003-04-25,1,0,,,,,
Singapore,195,2003-04-25,126,19,,,,,
South Africa,1,2003-04-25,0,0,,,,,
Spain,1,2003-04-25,1,0,,,,,
Sweden,3,2003-04-25,2,0,,,,,
Switzerland,1,2003-04-25,1,0,,,,,
Thailand,8,2003-04-25,5,2,,,,,
United Kingdom,6,2003-04-25,6,0,,,,,
United States,39,2003-04-25,not available,0,,,,,
Viet Nam,63,2003-04-25,53,5,,,,,
Total,4649,2003-04-25,2206,274,,,,,
Australia,4,2003-04-26,3,0,,,,,
Brazil,2,2003-04-26,2,0,,,,,
Bulgaria,1,2003-04-26,0,0,,,,,
Canada,142,2003-04-26,77,18,,,,,
China,2753,2003-04-26,1285,122,,,,,
"China, Hong Kong Special Administrative Region5",1527,2003-04-26,632,121,,,,,
"China, Taiwan",49,2003-04-26,25,0,,,,,
France,5,2003-04-26,1,0,,,,,
Germany,7,2003-04-26,6,0,,,,,
India,1,2003-04-26,1,0,,,,,
Indonesia,1,2003-04-26,1,0,,,,,
Italy,4,2003-04-26,3,0,,,,,
Japan,2,2003-04-26,0,0,,,,,
Kuwait,1,2003-04-26,1,0,,,,,
Malaysia,5,2003-04-26,2,2,,,,,
Mongolia,5,2003-04-26,3,0,,,,,
Philippines,4,2003-04-26,1,2,,,,,
Republic of Ireland,1,2003-04-26,1,0,,,,,
Romania,1,2003-04-26,1,0,,,,,
Singapore,198,2003-04-26,126,21,,,,,
South Africa,1,2003-04-26,0,0,,,,,
Spain,1,2003-04-26,1,0,,,,,
Sweden,3,2003-04-26,2,0,,,,,
Switzerland,1,2003-04-26,1,0,,,,,
Thailand,7,2003-04-26,5,2,,,,,
United Kingdom,6,2003-04-26,6,0,,,,,
United States,41,2003-04-26,not available,0,,,,,
Viet Nam,63,2003-04-26,53,5,,,,,
Total,4836,2003-04-26,2239,293,,,,,
Australia,4,2003-04-28,3,0,,,,,
Brazil,2,2003-04-28,2,0,,,,,
Bulgaria,1,2003-04-28,0,0,,,,,
Canada,142,2003-04-28,77,18,,,,,
China,2914,2003-04-28,1299,131,,,,,
"China, Hong Kong Special Administrative Region^5",1557,2003-04-28,710,138,,,,,
"China, Taiwan",66,2003-04-28,25,0,,,,,
France,5,2003-04-28,1,0,,,,,
Germany,7,2003-04-28,6,0,,,,,
India,1,2003-04-28,1,0,,,,,
Indonesia,1,2003-04-28,1,0,,,,,
Italy,8,2003-04-28,3,0,,,,,
Japan,2,2003-04-28,0,0,,,,,
Kuwait,1,2003-04-28,1,0,,,,,
Malaysia,6,2003-04-28,2,2,,,,,
Mongolia,5,2003-04-28,3,0,,,,,
Philippines,4,2003-04-28,1,2,,,,,
Republic of Ireland,1,2003-04-28,1,0,,,,,
Romania,1,2003-04-28,1,0,,,,,
Singapore,199,2003-04-28,137,23,,,,,
South Africa,1,2003-04-28,0,0,,,,,
Spain,1,2003-04-28,1,0,,,,,
Sweden,3,2003-04-28,2,0,,,,,
Switzerland,1,2003-04-28,1,0,,,,,
Thailand,7,2003-04-28,5,2,,,,,
United Kingdom,6,2003-04-28,6,0,,,,,
United States,41,2003-04-28,not available,0,,,,,
Viet Nam,63,2003-04-28,53,5,,,,,
Total,5050,2003-04-28,2342,321,,,,,
Australia,4,2003-04-29,3,0,,,,,
Brazil,2,2003-04-29,2,0,,,,,
Bulgaria,1,2003-04-29,0,0,,,,,
Canada,146,2003-04-29,86,20,,,,,
China,3303,2003-04-29,1322,148,,,,,
"China, Hong Kong Special Administrative Region^6",1572,2003-04-29,759,150,,,,,
"China, Taiwan",66,2003-04-29,25,0,,,,,
France,5,2003-04-29,1,0,,,,,
Germany,7,2003-04-29,6,0,,,,,
India,1,2003-04-29,1,0,,,,,
Indonesia,1,2003-04-29,1,0,,,,,
Italy,9,2003-04-29,4,0,,,,,
Japan,2,2003-04-29,0,0,,,,,
Kuwait,1,2003-04-29,1,0,,,,,
Malaysia,6,2003-04-29,3,2,,,,,
Mongolia,5,2003-04-29,3,0,,,,,
Philippines,4,2003-04-29,1,2,,,,,
Republic of Ireland,1,2003-04-29,1,0,,,,,
Republic of Korea,1,2003-04-29,0,0,,,,,
Romania,1,2003-04-29,1,0,,,,,
Singapore,201,2003-04-29,139,24,,,,,
South Africa,1,2003-04-29,0,0,,,,,
Spain,1,2003-04-29,1,0,,,,,
Sweden,3,2003-04-29,2,0,,,,,
Switzerland,1,2003-04-29,1,0,,,,,
Thailand,7,2003-04-29,5,2,,,,,
United Kingdom,6,2003-04-29,6,0,,,,,
United States,41,2003-04-29,not available,0,,,,,
Viet Nam,63,2003-04-29,53,5,,,,,
Total,5462,2003-04-29,2427,353,,,,,
Australia,4,2003-04-30,3,0,,,,,
Brazil,2,2003-04-30,2,0,,,,,
Bulgaria,1,2003-04-30,0,0,,,,,
Canada,148,2003-04-30,87,20,,,,,
China,3460,2003-04-30,1332,159,,,,,
"China, Hong Kong Special Administrative Region^5",1589,2003-04-30,791,157,,,,,
"China, Macao Special Administrative Region",1,2003-04-30,0,0,,,,,
"China, Taiwan",78,2003-04-30,25,1,,,,,
France,5,2003-04-30,1,0,,,,,
Germany,7,2003-04-30,7,0,,,,,
Indonesia,2,2003-04-30,1,0,,,,,
Italy,9,2003-04-30,4,0,,,,,
Japan,2,2003-04-30,0,0,,,,,
Kuwait,1,2003-04-30,1,0,,,,,
Malaysia,6,2003-04-30,3,2,,,,,
Mongolia,6,2003-04-30,3,0,,,,,
Philippines,4,2003-04-30,1,2,,,,,
Republic of Ireland,1,2003-04-30,1,0,,,,,
Republic of Korea,1,2003-04-30,0,0,,,,,
Romania,1,2003-04-30,1,0,,,,,
Singapore,201,2003-04-30,139,24,,,,,
South Africa,1,2003-04-30,0,0,,,,,
Spain,1,2003-04-30,1,0,,,,,
Sweden,3,2003-04-30,2,0,,,,,
Switzerland,1,2003-04-30,1,0,,,,,
Thailand,7,2003-04-30,5,2,,,,,
United Kingdom,6,2003-04-30,6,0,,,,,
United States,52,2003-04-30,not available,0,,,,,
Viet Nam,63,2003-04-30,53,5,,,,,
Total,5663,2003-04-30,2470,372,,,,,
Australia,4,2003-05-01,4,0,,,,,
Brazil,2,2003-05-01,2,0,,,,,
Bulgaria,1,2003-05-01,0,0,,,,,
Canada,147,2003-05-01,87,20,,,,,
China,3638,2003-05-01,1351,170,,,,,
"China, Hong Kong Special Administrative Region^5",1600,2003-05-01,834,162,,,,,
"China, Macao Special Administrative Region",1,2003-05-01,0,0,,,,,
"China, Taiwan",89,2003-05-01,25,3,,,,,
France,5,2003-05-01,1,0,,,,,
Germany,7,2003-05-01,7,0,,,,,
Indonesia,2,2003-05-01,1,0,,,,,
Italy,9,2003-05-01,4,0,,,,,
Japan,2,2003-05-01,0,0,,,,,
Kuwait,1,2003-05-01,1,0,,,,,
Malaysia,6,2003-05-01,3,2,,,,,
Mongolia,6,2003-05-01,3,0,,,,,
Philippines,4,2003-05-01,1,2,,,,,
Poland,1,2003-05-01,0,0,,,,,
Republic of Ireland,1,2003-05-01,1,0,,,,,
Republic of Korea,1,2003-05-01,0,0,,,,,
Romania,1,2003-05-01,1,0,,,,,
Singapore,201,2003-05-01,143,25,,,,,
South Africa,1,2003-05-01,0,0,,,,,
Spain,1,2003-05-01,1,0,,,,,
Sweden,3,2003-05-01,2,0,,,,,
Switzerland,1,2003-05-01,1,0,,,,,
Thailand,7,2003-05-01,5,2,,,,,
United Kingdom,6,2003-05-01,6,0,,,,,
United States,54,2003-05-01,23,0,,,,,
Viet Nam,63,2003-05-01,56,5,,,,,
Total,5865,2003-05-01,2563,391,,,,,
Australia,4,2003-05-02,4,0,,,,,
Brazil,2,2003-05-02,2,0,,,,,
Bulgaria,1,2003-05-02,0,0,,,,,
Canada,149,2003-05-02,93,22,,,,,
China,3799,2003-05-02,1372,181,,,,,
"China, Hong Kong Special Administrative Region^4",1611,2003-05-02,878,170,,,,,
"China, Macao Special Administrative Region",1,2003-05-02,0,0,,,,,
"China, Taiwan",100,2003-05-02,25,8,,,,,
France,5,2003-05-02,4,0,,,,,
Germany,7,2003-05-02,7,0,,,,,
Indonesia,2,2003-05-02,1,0,,,,,
Italy,9,2003-05-02,4,0,,,,,
Kuwait,1,2003-05-02,1,0,,,,,
Malaysia,6,2003-05-02,3,2,,,,,
Mongolia,8,2003-05-02,4,0,,,,,
New Zealand,1,2003-05-02,1,0,,,,,
Philippines,3,2003-05-02,1,2,,,,,
Poland,1,2003-05-02,0,0,,,,,
Republic of Ireland,1,2003-05-02,1,0,,,,,
Republic of Korea,1,2003-05-02,0,0,,,,,
Romania,1,2003-05-02,1,0,,,,,
Singapore,203,2003-05-02,146,25,,,,,
South Africa,1,2003-05-02,0,0,,,,,
Spain,1,2003-05-02,1,0,,,,,
Sweden,3,2003-05-02,2,0,,,,,
Switzerland,1,2003-05-02,1,0,,,,,
Thailand,7,2003-05-02,5,2,,,,,
United Kingdom,6,2003-05-02,6,0,,,,,
United States,56,2003-05-02,24,0,,,,,
Viet Nam,63,2003-05-02,56,5,,,,,
Total,6054,2003-05-02,2643,417,,,,,
Australia,4,2003-05-03,4,0,,,,,
Brazil,2,2003-05-03,2,0,,,,,
Bulgaria,1,2003-05-03,0,0,,,,,
Canada,149,2003-05-03,94,22,,,,,
China,3971,2003-05-03,1406,190,,,,,
"China, Hong Kong Special Administrative Region^4",1621,2003-05-03,898,179,,,,,
"China, Macao Special Administrative Region",1,2003-05-03,0,0,,,,,
"China, Taiwan",100,2003-05-03,25,8,,,,,
France,5,2003-05-03,4,0,,,,,
Germany,7,2003-05-03,7,0,,,,,
Indonesia,2,2003-05-03,1,0,,,,,
Italy,9,2003-05-03,4,0,,,,,
Kuwait,1,2003-05-03,1,0,,,,,
Malaysia,6,2003-05-03,3,2,,,,,
Mongolia,8,2003-05-03,4,0,,,,,
New Zealand,1,2003-05-03,1,0,,,,,
Philippines,3,2003-05-03,1,2,,,,,
Poland,1,2003-05-03,0,0,,,,,
Republic of Ireland,1,2003-05-03,1,0,,,,,
Republic of Korea,1,2003-05-03,0,0,,,,,
Romania,1,2003-05-03,1,0,,,,,
Singapore,203,2003-05-03,147,25,,,,,
South Africa,1,2003-05-03,1,0,,,,,
Spain,1,2003-05-03,1,0,,,,,
Sweden,3,2003-05-03,2,0,,,,,
Switzerland,1,2003-05-03,1,0,,,,,
Thailand,7,2003-05-03,5,2,,,,,
United Kingdom,6,2003-05-03,6,0,,,,,
United States,54,2003-05-03,24,0,,,,,
Viet Nam,63,2003-05-03,58,5,,,,,
Total,6234,2003-05-03,2702,435,,,,,
Australia,4,2003-05-05,4,0,,,,,
Brazil,2,2003-05-05,2,0,,,,,
Bulgaria,1,2003-05-05,0,0,,,,,
Canada,148,2003-05-05,93,22,,,,,
China,4280,2003-05-05,1433,206,,,,,
"China, Hong Kong Special Administrative Region^5",1637,2003-05-05,930,187,,,,,
"China, Macao Special Administrative Region",1,2003-05-05,0,0,,,,,
"China, Taiwan",116,2003-05-05,25,8,,,,,
France,5,2003-05-05,4,0,,,,,
Germany,7,2003-05-05,7,0,,,,,
Indonesia,2,2003-05-05,1,0,,,,,
Italy,9,2003-05-05,4,0,,,,,
Kuwait,1,2003-05-05,1,0,,,,,
Malaysia,7,2003-05-05,4,2,,,,,
Mongolia,8,2003-05-05,4,0,,,,,
New Zealand,1,2003-05-05,1,0,,,,,
Philippines,3,2003-05-05,1,2,,,,,
Poland,1,2003-05-05,0,0,,,,,
Republic of Ireland,1,2003-05-05,1,0,,,,,
Republic of Korea,1,2003-05-05,0,0,,,,,
Romania,1,2003-05-05,1,0,,,,,
Singapore,204,2003-05-05,149,26,,,,,
South Africa,1,2003-05-05,0,1,,,,,
Spain,1,2003-05-05,1,0,,,,,
Sweden,3,2003-05-05,2,0,,,,,
Switzerland,1,2003-05-05,1,0,,,,,
Thailand,7,2003-05-05,5,2,,,,,
United Kingdom,6,2003-05-05,6,0,,,,,
United States,61,2003-05-05,26,0,,,,,
Viet Nam,63,2003-05-05,58,5,,,,,
Total,6583,2003-05-05,2764,461,,,,,
Australia,4,2003-05-06,4,0,,,,,
Brazil,2,2003-05-06,2,0,,,,,
Bulgaria,1,2003-05-06,0,0,,,,,
Canada,148,2003-05-06,93,22,,,,,
China,4409,2003-05-06,1460,214,,,,,
"China, Hong Kong Special Administrative Region^5",1646,2003-05-06,958,193,,,,,
"China, Macao Special Administrative Region",1,2003-05-06,0,0,,,,,
"China, Taiwan",116,2003-05-06,25,10,,,,,
Colombia,1,2003-05-06,1,0,,,,,
France,5,2003-05-06,4,0,,,,,
Germany,7,2003-05-06,7,0,,,,,
India,1,2003-05-06,0,0,,,,,
Indonesia,2,2003-05-06,1,0,,,,,
Italy,9,2003-05-06,4,0,,,,,
Kuwait,1,2003-05-06,1,0,,,,,
Malaysia,7,2003-05-06,4,2,,,,,
Mongolia,8,2003-05-06,4,0,,,,,
New Zealand,1,2003-05-06,1,0,,,,,
Philippines,3,2003-05-06,1,2,,,,,
Poland,1,2003-05-06,0,0,,,,,
Republic of Ireland,1,2003-05-06,1,0,,,,,
Republic of Korea,1,2003-05-06,0,0,,,,,
Romania,1,2003-05-06,1,0,,,,,
Singapore,204,2003-05-06,149,27,,,,,
South Africa,1,2003-05-06,0,1,,,,,
Spain,1,2003-05-06,1,0,,,,,
Sweden,3,2003-05-06,2,0,,,,,
Switzerland,1,2003-05-06,1,0,,,,,
Thailand,7,2003-05-06,5,2,,,,,
United Kingdom,6,2003-05-06,6,0,,,,,
United States,65,2003-05-06,32,0,,,,,
Viet Nam,63,2003-05-06,58,5,,,,,
Total,6727,2003-05-06,2826,478,,,,,
Australia,4,2003-05-07,4,0,,,,,
Brazil,2,2003-05-07,2,0,,,,,
Bulgaria,1,2003-05-07,0,0,,,,,
Canada,146,2003-05-07,93,22,,,,,
China,4560,2003-05-07,1487,219,,,,,
"China, Hong Kong Special Administrative Region^4",1654,2003-05-07,984,204,,,,,
"China, Macao Special Administrative Region",1,2003-05-07,0,0,,,,,
"China, Taiwan",125,2003-05-07,26,11,,,,,
Colombia,1,2003-05-07,1,0,,,,,
France,6,2003-05-07,4,0,,,,,
Germany,8,2003-05-07,7,0,,,,,
India,1,2003-05-07,0,0,,,,,
Indonesia,2,2003-05-07,1,0,,,,,
Italy,9,2003-05-07,5,0,,,,,
Kuwait,1,2003-05-07,1,0,,,,,
Malaysia,7,2003-05-07,4,2,,,,,
Mongolia,9,2003-05-07,6,0,,,,,
New Zealand,1,2003-05-07,1,0,,,,,
Philippines,10,2003-05-07,2,2,,,,,
Poland,1,2003-05-07,0,0,,,,,
Republic of Ireland,1,2003-05-07,1,0,,,,,
Republic of Korea,1,2003-05-07,0,0,,,,,
Romania,1,2003-05-07,1,0,,,,,
Singapore,204,2003-05-07,150,27,,,,,
South Africa,1,2003-05-07,0,1,,,,,
Spain,1,2003-05-07,1,0,,,,,
Sweden,3,2003-05-07,2,0,,,,,
Switzerland,1,2003-05-07,1,0,,,,,
Thailand,7,2003-05-07,5,2,,,,,
United Kingdom,6,2003-05-07,6,0,,,,,
United States,65,2003-05-07,32,0,,,,,
Viet Nam,63,2003-05-07,58,5,,,,,
Total,6903,2003-05-07,2885,495,,,,,
Australia,4,2003-05-08,4,0,,,,,
Brazil,2,2003-05-08,2,0,,,,,
Bulgaria,1,2003-05-08,0,0,,,,,
Canada,146,2003-05-08,95,22,,,,,
China,4698,2003-05-08,1529,224,,,,,
"China, Hong Kong Special Administrative Region^4",1661,2003-05-08,1008,208,,,,,
"China, Macao Special Administrative Region",1,2003-05-08,0,0,,,,,
"China, Taiwan",131,2003-05-08,26,13,,,,,
Colombia,1,2003-05-08,1,0,,,,,
Finland,1,2003-05-08,0,0,,,,,
France,6,2003-05-08,4,0,,,,,
Germany,8,2003-05-08,7,0,,,,,
India,1,2003-05-08,0,0,,,,,
Indonesia,2,2003-05-08,1,0,,,,,
Italy,9,2003-05-08,6,0,,,,,
Kuwait,1,2003-05-08,1,0,,,,,
Malaysia,7,2003-05-08,4,2,,,,,
Mongolia,9,2003-05-08,6,0,,,,,
New Zealand,1,2003-05-08,1,0,,,,,
Philippines,10,2003-05-08,2,2,,,,,
Poland,1,2003-05-08,0,0,,,,,
Republic of Ireland,1,2003-05-08,1,0,,,,,
Republic of Korea,1,2003-05-08,1,0,,,,,
Romania,1,2003-05-08,1,0,,,,,
Singapore,204,2003-05-08,153,27,,,,,
South Africa,1,2003-05-08,0,1,,,,,
Spain,1,2003-05-08,1,0,,,,,
Sweden,3,2003-05-08,2,0,,,,,
Switzerland,1,2003-05-08,1,0,,,,,
Thailand,7,2003-05-08,5,2,,,,,
United Kingdom,6,2003-05-08,6,0,,,,,
United States,63,2003-05-08,33,0,,,,,
Viet Nam,63,2003-05-08,58,5,,,,,
Total,7053,2003-05-08,2959,506,,,,,
Australia,4,2003-05-09,4,0,,,,,
Brazil,2,2003-05-09,2,0,,,,,
Bulgaria,1,2003-05-09,0,0,,,,,
Canada,145,2003-05-09,94,22,,,,,
China,4805,2003-05-09,1582,230,,,,,
"China, Hong Kong Special Administrative Region^4",1667,2003-05-09,1015,210,,,,,
"China, Macao Special Administrative Region",1,2003-05-09,0,0,,,,,
"China, Taiwan",149,2003-05-09,26,13,,,,,
Colombia,1,2003-05-09,1,0,,,,,
Finland,1,2003-05-09,0,0,,,,,
France,6,2003-05-09,4,0,,,,,
Germany,9,2003-05-09,9,0,,,,,
India,1,2003-05-09,0,0,,,,,
Indonesia,2,2003-05-09,1,0,,,,,
Italy,9,2003-05-09,9,0,,,,,
Kuwait,1,2003-05-09,1,0,,,,,
Malaysia,6,2003-05-09,4,2,,,,,
Mongolia,9,2003-05-09,6,0,,,,,
New Zealand,1,2003-05-09,1,0,,,,,
Philippines,10,2003-05-09,2,2,,,,,
Poland,1,2003-05-09,0,0,,,,,
Republic of Ireland,1,2003-05-09,1,0,,,,,
Republic of Korea,1,2003-05-09,1,0,,,,,
Romania,1,2003-05-09,1,0,,,,,
Singapore,204,2003-05-09,153,27,,,,,
South Africa,1,2003-05-09,0,1,,,,,
Spain,1,2003-05-09,1,0,,,,,
Sweden,3,2003-05-09,2,0,,,,,
Switzerland,1,2003-05-09,1,0,,,,,
Thailand,7,2003-05-09,5,2,,,,,
